KabKota;balita_stunting_persentase;peserta_KB;posyandu_aktif;pemberian_asi_persentase;balita_kurang_gizi;balita_vitaminA;balita_imunisasi_lengkap;balita_gizi_buruk;bb_lahir_rendah_persentase
Kab Bogor;9.59;841527;2585;48.58;18913;476786;104246;67857;1.3
Kab Sukabumi;7.33;393087;1650;72.76;9301;198236;24806;30200;4.9
Kab Cianjur;4.23;413042;2929;71.85;7602;195545;3033;20498;2.4
Kab Bandung;8.85;560796;4238;66.16;14062;281453;58162;28528;2.3
Kab Garut;4.78;381462;4194;74.01;8932;396892;32960;24091;3
Kab Tasikmalaya;14.93;237183;1641;51.04;8597;114149;27640;28378;4.2
Kab Ciamis;4.83;171739;1515;80.39;3697;68292;16134;8347;4
Kab Kuningan;5.37;175371;1346;76.29;3866;83933;17188;9989;5.5
Kab Cirebon;9.36;361761;1791;70.86;13385;180715;41496;32931;3.6
Kab Majalengka;3.52;224230;716;80.32;3705;92849;17643;9108;3.8
Kab Sumedang;11.03;171630;1264;81.26;5732;81595;15381;16205;2.5
Kab Indramayu;4.83;230905;1985;55.46;5586;126117;20624;16742;3.4
Kab Subang;2.45;222735;1372;52.57;1980;96467;28834;5916;1.4
Kab Purwakarta;5.58;174004;704;63.19;2211;80415;16272;5944;2.3
Kab Karawang;2.3;368007;1595;68.15;4174;169011;38715;11304;2.8
Kab Bekasi;3.92;500256;1752;72.62;7708;263093;60120;24610;0.5
Kab Bandung Barat;11.85;251764;1858;75.17;6891;150447;20932;18946;1.8
Kab Pangandaran;4.2;57350;531;100;904;24235;5130;2054;5.4
Kota Bogor;5.4;93563;203;42.52;3465;77067;15641;10164;1.7
Kota Sukabumi;5.9;24128;378;67.5;1206;24519;4559;2823;3.8
Kota Bandung;7.83;308297;1423;72.64;5612;120146;36783;17121;1.6
Kota Cirebon;13.39;24452;264;71.81;2399;21192;4730;5866;4.9
Kota Bekasi;7.87;370222;1357;50.29;7663;141195;43464;24838;1.9
Kota Depok;3.51;244880;1022;73.61;4639;132484;20059;10711;0.7
Kota Cimahi;9.94;74856;391;77.05;2199;34516;9144;6681;2.4
Kota Tasikmalaya;15.46;99315;639;70.38;4452;45175;10265;13172;3.4
Kota Banjar;8.85;27794;200;74.29;1060;13205;2143;2763;21
